candidate_id	file	accepted_K20	candidate_truth	exact_edge_count	approximate_edge_count	edge_sets_identical	exact_only_edges	approximate_only_edges	exact_instance_ids	approximate_instance_ids
2023-05-25_0109:semantic:T030:A016:C00001	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00002	2023-05-25_0109	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0109:instance:20
2023-05-25_0109:semantic:T030:A016:C00003	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00004	2023-05-25_0109	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00005	2023-05-25_0109	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0109:instance:15
2023-05-25_0109:semantic:T030:A016:C00006	2023-05-25_0109	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0109:instance:17
2023-05-25_0109:semantic:T030:A016:C00007	2023-05-25_0109	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0109:instance:19
2023-05-25_0109:semantic:T030:A016:C00008	2023-05-25_0109	0	crop	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00009	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00010	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00011	2023-05-25_0109	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0109:instance:14
2023-05-25_0109:semantic:T030:A016:C00012	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00013	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00014	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00015	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00018	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00019	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00020	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00021	2023-05-25_0109	0	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00022	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00024	2023-05-25_0109	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00025	2023-05-25_0109	0	crop	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00026	2023-05-25_0109	1	crop	0	0	1	0	0		
2023-05-25_0109:semantic:T030:A016:C00027	2023-05-25_0109	1	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00001	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00002	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00003	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00004	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00005	2023-05-25_0114	1	weed	1	1	1	0	0	2023-05-25_0114:instance:26	2023-05-25_0114:instance:26
2023-05-25_0114:semantic:T030:A016:C00006	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00007	2023-05-25_0114	1	weed	1	1	1	0	0	2023-05-25_0114:instance:25	2023-05-25_0114:instance:25
2023-05-25_0114:semantic:T030:A016:C00008	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00009	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00010	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00011	2023-05-25_0114	1	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00012	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00013	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00014	2023-05-25_0114	1	weed	1	1	1	0	0	2023-05-25_0114:instance:20	2023-05-25_0114:instance:20
2023-05-25_0114:semantic:T030:A016:C00015	2023-05-25_0114	1	weed	1	1	1	0	0	2023-05-25_0114:instance:23	2023-05-25_0114:instance:23
2023-05-25_0114:semantic:T030:A016:C00016	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00017	2023-05-25_0114	1	weed	1	1	1	0	0	2023-05-25_0114:instance:22	2023-05-25_0114:instance:22
2023-05-25_0114:semantic:T030:A016:C00022	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00023	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00024	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00025	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00026	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00027	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00028	2023-05-25_0114	0	crop	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00031	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00033	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00035	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00038	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00039	2023-05-25_0114	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0114:semantic:T030:A016:C00040	2023-05-25_0114	1	weed	1	1	1	0	0	2023-05-25_0114:instance:24	2023-05-25_0114:instance:24
2023-05-25_0114:semantic:T030:A016:C00041	2023-05-25_0114	0	weed	1	1	1	0	0	2023-05-25_0114:instance:13	2023-05-25_0114:instance:13
2023-05-25_0170:semantic:T030:A016:C00002	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00004	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00008	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00009	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00011	2023-05-25_0170	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0170:instance:9
2023-05-25_0170:semantic:T030:A016:C00012	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00014	2023-05-25_0170	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0170:instance:7
2023-05-25_0170:semantic:T030:A016:C00015	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00017	2023-05-25_0170	0	crop	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00018	2023-05-25_0170	1	crop	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00019	2023-05-25_0170	0	crop	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00020	2023-05-25_0170	0	crop	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00021	2023-05-25_0170	1	weed	1	1	1	0	0	2023-05-25_0170:instance:22	2023-05-25_0170:instance:22
2023-05-25_0170:semantic:T030:A016:C00022	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00023	2023-05-25_0170	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0170:instance:20
2023-05-25_0170:semantic:T030:A016:C00024	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00025	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00026	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00027	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00028	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00032	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00033	2023-05-25_0170	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00036	2023-05-25_0170	0	crop	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00037	2023-05-25_0170	0	crop	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00041	2023-05-25_0170	0	crop	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00042	2023-05-25_0170	1	crop	0	0	1	0	0		
2023-05-25_0170:semantic:T030:A016:C00043	2023-05-25_0170	0	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00001	2023-05-25_0183	1	ambiguous_or_background	0	1	0	0	1		2023-05-25_0183:instance:17
2023-05-25_0183:semantic:T030:A016:C00003	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00004	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00005	2023-05-25_0183	1	weed	1	1	1	0	0	2023-05-25_0183:instance:14	2023-05-25_0183:instance:14
2023-05-25_0183:semantic:T030:A016:C00006	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00009	2023-05-25_0183	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00010	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00011	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00012	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00013	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00014	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00015	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00016	2023-05-25_0183	1	crop	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00017	2023-05-25_0183	1	weed	1	1	1	0	0	2023-05-25_0183:instance:11	2023-05-25_0183:instance:11
2023-05-25_0183:semantic:T030:A016:C00023	2023-05-25_0183	1	ambiguous_or_background	0	0	1	0	0		
2023-05-25_0183:semantic:T030:A016:C00024	2023-05-25_0183	1	ambiguous_or_background	0	0	1	0	0		
